Processs Team	Process ID	Process Description	Available in Client System (Y/N)	Simplification Item ID	Simplification Item Description	Migration Compatibility	Supporting Comments for Migration Compatibility	Complexity
FI 	DC 010	DC 010-Perform Transaction Processing	Yes	2.1.19.2	2.1.19.2-SAP Invoice and Goods Receipt Reconciliation	2	GR / IR reconciliation transaction is not available but it will not have any impact on configuration or transaction posting.	Medium
FI 	DC 020	DC 020-Manage General Ledger	Yes	2.1.19.1	2.1.19.1-General Ledger	1	No Impact - Since already document splitting functionality is active.	Very High
FI 	DC 040	DC 040-Perform Fixed Asset Accounting	Yes	2.1.21.2	2.1.21.2-Classic Asset Acounting	1	We need to implement New Asset Accounting fuctionality	Medium
FI 	DC 080	DC 080-Manage Customer Credit Exposure	Yes	2.1.25.1	2.1.25.1-Credit Management	2	FSCM credit Management is manadatory in the S4 system. Thus we need to migration from traditional SD Credit Credit Mangement to FSCM Credit Management	High
FI 	DC 090	DC 090-Business Partner Approach	Yes	2.1.1.1	2.1.1.1-Business Partner Approach	2	Need to covert all existing Customers & Vendors into BP	Medium
FI 	DC 100	DC 100-Process Receipts	Yes	2.1.22.1	2.1.22.1-Cash Management	2	New cash management and new Bank Accout management need be implemented	Very High
FI 	DC 130	DC 130-Process Vendor Transactions & Payments	Yes	2.1.20.1	2.1.20.1-SAP Working Capital Analytics/DSO and DPO	2	No Impact - Alternative reports are avilable 	High
FI 	DS 010	DS 010-Perform Overhead Accounting and Allocation	Yes	2.1.23.6	2.1.23.6-ALE Scenarios	2	"No Impact - Unless we need to transfer only CO items without FI entries, we need to use Central finance functionality"	Medium
FI 	DS 010	DS 010-Perform Overhead Accounting and Allocation	Yes	2.1.23.7	2.1.23.7-Cost Elements	2	GL Accounts Masters and Cost Element masters need to merged	Medium
FI 	DS 020	DS 020-Product Costing	Yes	2.1.25.2	2.1.25.2-Technical Changes in Material Ledger	2	Mandatory for all plant to be activated with Material Ledger - Just configuraiton change and no impact on any Business process.	High
MM		STO Inter-company	Yes		2.1.4 - Procurement and 2.1.12.11 - MRP in HANA	2	S4 HANA has MRP Live which has additional advantages. If a material is transferred from one plant to another then stock transport requirement (STR) is not known in the suppying plant until after the material has been planned in the receiving plant.  MRP live determines the sequence in which the material has to be planned acroos several plants. 	medium
MM		STO Intra-company	Yes		2.1.4 - Procurement and 2.1.12.11 - MRP in HANA	2	S4 HANA has MRP Live which has additional advantages. If a material is transferred from one plant to another then stock transport requirement (STR) is not known in the suppying plant until after the material has been planned in the receiving plant.  MRP live determines the sequence in which the material has to be planned acroos several plants. 	medium
