PROGTYPE	OBJTYPE	OBJDESC	SUBOBJ	SUBOBJDESC	OBJNAME	OBJTEXT	APPLN	FRICETYPE	PACKAGE	SYSNAME	MAINPROG	INCL	LINNO	ERRORMSG	SEVERITY	COMPLEXITY	RULNAME	REFOBJTYP
PROGRAM TYPE	OBJECT TYPE	OBJECT DESCRIPTION	SUBOBJ	SUBOBJDESC	OBJNAME	OBJTEXT	APPLN	FRICETYPE	PACKAGE	SYSNAME	MAINPROG	INCL	LINNO	ERRORMSG	SEVERITY	COMPLEXITY	RULNAME	REFOBJTYP
R3TR	FRM	Forms	PRIP	Print Programs	ZCCA_LOAD_COMMONF01	Unit of Production Load		F	Z_ERP_FI_AM	EHP7 for SAP ERP 6.0	ZFAM_LOAD_PROD_VOL_TO_T090L		13	Define USING parameters by VALUE and Define CHANGING including tables by REFERENCE.	4	2	PARAMETER PASSING IN PROCEDURES	PROG
R3TR	FRM	Forms	PRIP	Print Programs	ZCCA_LOAD_COMMONF01	Unit of Production Load		F	Z_ERP_FI_AM	EHP7 for SAP ERP 6.0	ZFAM_LOAD_PROD_VOL_TO_T090L		109	Define USING parameters by VALUE and Define CHANGING including tables by REFERENCE.	4	2	PARAMETER PASSING IN PROCEDURES	PROG
R3TR	FRM	Forms	PRIP	Print Programs	ZCCA_LOAD_COMMONF01	Unit of Production Load		F	Z_ERP_FI_AM	EHP7 for SAP ERP 6.0	ZFAM_LOAD_PROD_VOL_TO_T090L		240	Define USING parameters by VALUE and Define CHANGING including tables by REFERENCE.	4	2	PARAMETER PASSING IN PROCEDURES	PROG
R3TR	FRM	Forms	PRIP	Print Programs	ZCCA_LOAD_COMMONF01	Unit of Production Load		F	Z_ERP_FI_AM	EHP7 for SAP ERP 6.0	ZFAM_LOAD_PROD_VOL_TO_T090L		264	Standard internal table  is not sorted	2	2	STANDARD INTERNAL TABLE PROCESSING	PROG
R3TR	FRM	Forms	PRIP	Print Programs	ZCCA_LOAD_COMMONF01	Unit of Production Load		F	Z_ERP_FI_AM	EHP7 for SAP ERP 6.0	ZFAM_LOAD_PROD_VOL_TO_T090L		293	Define USING parameters by VALUE and Define CHANGING including tables by REFERENCE.	4	2	PARAMETER PASSING IN PROCEDURES	PROG
R3TR	FRM	Forms	PRIP	Print Programs	ZCCA_LOAD_COMMONF01	Unit of Production Load		F	Z_ERP_FI_AM	EHP7 for SAP ERP 6.0	ZFAM_LOAD_PROD_VOL_TO_T090L		301	Use Variable length statement STRING instead of fixed length LC_RUN_DATE(10)	4	3	INCORRECT OPERATION ON BYTE & CHARACTER STRINGS	PROG
R3TR	FRM	Forms	PRIP	Print Programs	ZCCA_LOAD_COMMONF01	Unit of Production Load		F	Z_ERP_FI_AM	EHP7 for SAP ERP 6.0	ZFAM_LOAD_PROD_VOL_TO_T090L		301	Use Variable length statement STRING instead of fixed length LC_TABLE_ID(15)	4	3	INCORRECT OPERATION ON BYTE & CHARACTER STRINGS	PROG
R3TR	FRM	Forms	PRIP	Print Programs	ZCCA_LOAD_COMMONF01	AM - Load Reserve Volume to Table T090L	Asset Accounting	F	Z_ERP_FI_AM	EHP7 for SAP ERP 6.0	ZFAM_LOAD_RES_VOL_TO_T090L		13	Define USING parameters by VALUE and Define CHANGING including tables by REFERENCE.	4	2	PARAMETER PASSING IN PROCEDURES	PROG
R3TR	FRM	Forms	PRIP	Print Programs	ZCCA_LOAD_COMMONF01	AM - Load Reserve Volume to Table T090L	Asset Accounting	F	Z_ERP_FI_AM	EHP7 for SAP ERP 6.0	ZFAM_LOAD_RES_VOL_TO_T090L		86	Binary search is missing on READ table GT_NODES	2	2	STANDARD INTERNAL TABLE PROCESSING	PROG
